food_id,food_name_english,food_name_luganda,food_category,edible_portion_percent,energy_kcal_per_100g,protein_g_per_100g,fat_g_per_100g,carbohydrate_g_per_100g,fiber_g_per_100g,calcium_mg_per_100g,iron_mg_per_100g,zinc_mg_per_100g,vitamin_a_mcg_per_100g,vitamin_d_mcg_per_100g,vitamin_b12_mcg_per_100g,folate_mcg_per_100g,vitamin_c_mg_per_100g,omega3_g_per_100g,sodium_mg_per_100g,potassium_mg_per_100g,data_source,notes,preparation_state,seasonality,avg_market_price_ugx_per_kg,availability_score,region,data_collection_date,dataset_version
UG0026,Nakati (eggplant) (boiled),Nakati,Vegetables,75,0.0,3.12,1.12,9.41,1.57,15.5,3.16,0.13,0.0,0.0,0.0,106.2,15.7,0.019,0.0,637.3,Estimated,Estimated value; requires verification from lab/FCT,boiled,Rainy season,2042,0.68,Western,2019-12-12,v1.0-simulated-2025-11-12
UG0027,Pineapple (boiled),Paineapul,Fruits,83,31.3,0.47,0.0,8.83,0.5,62.2,1.02,0.2,158.4,0.0,0.0,16.5,5.0,0.066,3.7,142.6,FAO/INFOODS,No additional notes for fruits category,boiled,Dry season,686,0.12,Northern,2018-05-01,v1.0-simulated-2025-11-12
UG0028,Cabbage (roasted),Cabbage,Vegetables,85,27.0,1.92,0.04,2.54,2.57,11.8,2.54,0.37,104.4,0.0,0.0,7.8,7.7,0.088,20.0,234.9,Estimated,Estimated value; requires verification from lab/FCT,roasted,Year-round,3127,0.11,Eastern,2023-05-06,v1.0-simulated-2025-11-12
UG0029,Matooke (green banana) (roasted),Matooke,Staples,96,127.0,0.5,0.95,22.55,0.37,21.4,0.17,0.51,141.4,0.0,0.0,5.0,8.8,0.03,0.0,464.0,FAO/INFOODS,No additional notes for staples category,roasted,Rainy season,3157,0.11,Central,2025-01-25,v1.0-simulated-2025-11-12
UG0030,Passion fruit,Passion,Fruits,93,71.1,0.58,0.35,12.75,3.2,26.4,0.64,0.12,1.0,0.0,0.0,6.3,38.8,0.007,2.4,765.1,FAO/INFOODS,No additional notes for fruits category,raw,Year-round,1510,0.76,Western,2025-01-25,v1.0-simulated-2025-11-12
UG0031,Sukuma wiki (collard greens),Sukuma wiki,Vegetables,90,61.0,1.49,0.0,6.06,2.14,77.9,3.78,0.45,0.0,0.0,0.0,43.6,30.0,0.078,0.0,361.9,Estimated,Estimated value; requires verification from lab/FCT,boiled,Rainy season,3870,0.65,National,2019-05-27,v1.0-simulated-2025-11-12
UG0032,Chicken (meat) (dried),Enkoko,Proteins,74,266.4,14.73,8.43,2.13,1.15,159.5,11.72,1.61,2.9,0.0,3.13,37.5,8.9,1.106,0.0,406.2,FAO/INFOODS,No additional notes for proteins category,dried,Year-round,1230,0.39,Central,2018-06-22,v1.0-simulated-2025-11-12
UG0033,Chicken (meat),Enkoko,Proteins,92,222.4,11.49,22.67,5.78,0.0,273.9,7.54,2.93,37.7,2.5,0.0,1.0,11.4,0.529,49.0,332.0,Estimated,Estimated value; requires verification from lab/FCT,fried,Year-round,5808,0.62,Central,2025-03-08,v1.0-simulated-2025-11-12
UG0034,Mukene (small dried fish) (raw),Mukene,Proteins,100,305.0,62.5,5.2,0.0,0.0,2200.0,18.5,4.8,45.0,22.0,8.5,12.0,0.0,1.2,320.0,340.0,FAO INFOODS/HarvestPlus,"Sun-dried, eaten whole with bones",raw,Rainy season,1359,0.68,Eastern,2023-09-24,v1.0-simulated-2025-11-12
UG0035,Nakati (eggplant) (dried),Nakati,Vegetables,77,65.4,1.52,0.0,4.96,0.81,39.0,1.99,0.0,521.8,0.0,0.0,30.3,57.4,0.0,0.0,563.7,FAO/INFOODS,No additional notes for vegetables category,dried,Dry season,1753,0.47,Northern,2023-01-23,v1.0-simulated-2025-11-12
UG0036,Passion fruit,Passion,Fruits,81,65.9,0.9,0.0,9.63,1.76,6.4,0.0,0.22,19.6,0.0,0.0,45.1,5.0,0.053,7.2,100.0,Estimated,Estimated value; requires verification from lab/FCT,smoked,Year-round,1442,0.34,Central,2018-07-20,v1.0-simulated-2025-11-12
UG0037,Groundnut paste (raw),Ebyensosso (groundnut paste),Fats,89,619.4,0.0,40.73,15.77,0.0,2.0,0.0,1.98,0.0,0.0,0.0,18.6,0.0,0.056,0.1,456.6,FAO/INFOODS,No additional notes for fats category,raw,Rainy season,1458,0.79,Northern,2020-06-01,v1.0-simulated-2025-11-12
UG0038,Chicken (meat) (raw),Enkoko,Proteins,84,125.0,8.0,18.59,0.0,0.0,5.0,0.5,3.71,0.0,8.52,0.0,50.5,3.1,0.332,0.0,429.8,FAO/INFOODS,No additional notes for proteins category,raw,Harvest season,3654,0.49,Central,2021-06-26,v1.0-simulated-2025-11-12
UG0039,Millet (steamed),Oburo (millet),Staples,74,173.9,4.01,0.75,21.65,0.65,15.8,0.0,0.62,110.2,0.0,0.0,28.6,6.2,0.076,15.0,585.6,Estimated,Estimated value; requires verification from lab/FCT,steamed,Harvest season,2765,0.33,Eastern,2023-09-26,v1.0-simulated-2025-11-12
UG0040,Matooke (green banana) (roasted),Matooke,Staples,76,132.9,1.91,1.72,18.96,1.47,3.7,0.37,0.0,0.0,0.0,0.0,32.6,2.4,0.182,5.9,377.7,HarvestPlus 2012,No additional notes for staples category,roasted,Dry season,3050,0.36,Central,2025-04-20,v1.0-simulated-2025-11-12
UG0041,Tomatoes (roasted),Tomati,Vegetables,71,33.0,2.79,0.51,4.66,5.46,43.1,0.0,0.2,399.9,0.0,0.0,51.0,5.0,0.096,0.0,701.7,FAO/INFOODS,No additional notes for vegetables category,roasted,Year-round,1660,0.65,National,2024-12-18,v1.0-simulated-2025-11-12
UG0042,Passion fruit,Passion,Fruits,94,85.0,1.32,0.26,8.0,2.32,25.2,0.59,0.0,0.0,0.0,0.0,36.1,23.6,0.04,1.1,356.0,HarvestPlus 2012,No additional notes for fruits category,roasted,Rainy season,1225,0.61,Northern,2024-07-08,v1.0-simulated-2025-11-12
UG0043,Sunflower oil (boiled),Sunflower oil,Fats,95,558.3,0.0,65.34,8.51,0.0,12.4,5.34,1.39,71.6,0.0,0.0,0.0,0.0,0.36,6.4,362.3,HarvestPlus 2012,No additional notes for fats category,boiled,Year-round,1224,0.57,Northern,2018-06-29,v1.0-simulated-2025-11-12
UG0044,Tomatoes,Tomati,Vegetables,76,46.3,0.8,0.0,2.51,3.69,33.0,0.39,0.0,0.0,0.0,0.0,5.0,5.0,0.0,23.7,413.5,UBOS market survey,No additional notes for vegetables category,steamed,Rainy season,5464,0.33,Western,2023-03-10,v1.0-simulated-2025-11-12
UG0045,Cassava,Kasava,Staples,69,132.3,2.04,0.86,20.01,1.53,9.9,2.27,0.97,7.2,0.0,0.0,10.0,13.8,0.022,7.1,380.4,UBOS market survey,No additional notes for staples category,fried,Dry season,4321,0.81,Central,2025-10-04,v1.0-simulated-2025-11-12
UG0046,Goat meat,Enjovu,Proteins,80,246.7,31.52,14.5,0.0,0.0,72.6,0.5,1.04,18.7,8.68,0.16,24.0,1.9,1.232,267.4,243.8,HarvestPlus 2012,No additional notes for proteins category,raw,Rainy season,3566,0.34,National,2022-11-21,v1.0-simulated-2025-11-12
UG0047,Sweet potato,Emikajjo (sweet potato),Staples,89,143.3,3.63,1.99,30.72,2.8,21.9,2.11,1.01,4.0,0.0,0.0,25.8,7.0,0.008,0.0,424.2,HarvestPlus 2012,No additional notes for staples category,boiled,Dry season,2600,0.45,Western,2024-02-04,v1.0-simulated-2025-11-12
UG0048,Goat meat,Enjovu,Proteins,66,91.2,33.96,11.87,17.98,1.77,11.8,7.23,2.6,68.4,0.0,1.55,27.4,1.1,0.117,7.3,384.9,UBOS market survey,No additional notes for proteins category,sun-dried,Year-round,3447,0.38,National,2022-07-04,v1.0-simulated-2025-11-12
UG0049,Groundnut paste,Ebyensosso (groundnut paste),Fats,94,577.6,0.0,54.53,8.95,0.0,2.0,3.2,3.16,0.0,0.0,0.0,5.1,0.0,0.0,1.1,447.3,FAO/INFOODS,No additional notes for fats category,steamed,Year-round,3682,0.6,Central,2017-07-16,v1.0-simulated-2025-11-12
UG0050,Sukuma wiki (collard greens),Sukuma wiki,Vegetables,89,38.0,0.8,0.0,5.82,2.87,35.4,2.7,0.0,777.5,0.0,0.0,32.5,58.5,0.067,19.1,575.3,UBOS market survey,No additional notes for vegetables category,sun-dried,Rainy season,2964,0.51,Western,2023-08-01,v1.0-simulated-2025-11-12
UG0051,Sukuma wiki (collard greens) (roasted),Sukuma wiki,Vegetables,78,49.8,2.95,0.0,1.0,2.03,15.4,1.97,0.0,425.9,0.0,0.0,16.0,54.9,0.036,9.5,411.9,Estimated,Estimated value; requires verification from lab/FCT,roasted,Dry season,5708,0.28,Central,2024-10-29,v1.0-simulated-2025-11-12
UG0052,Sukuma wiki (collard greens) (raw),Sukuma wiki,Vegetables,82,48.5,1.34,0.37,5.99,0.76,105.1,3.75,0.29,210.8,0.0,0.0,41.3,5.0,0.038,0.0,229.6,HarvestPlus 2012,No additional notes for vegetables category,raw,Dry season,4696,0.7,Eastern,2018-09-20,v1.0-simulated-2025-11-12
UG0053,Sesame seeds,Sesame,Fats,100,582.2,0.0,50.72,4.82,0.0,57.9,2.18,2.79,51.8,0.0,0.0,22.6,0.0,0.0,8.6,379.6,Estimated,Estimated value; requires verification from lab/FCT,sun-dried,Harvest season,966,0.72,National,2025-10-03,v1.0-simulated-2025-11-12
UG0054,Posho (maize meal) (boiled),Posho,Staples,94,94.2,2.21,2.24,34.03,5.76,14.2,0.36,0.7,0.0,0.0,0.0,26.8,6.0,0.061,10.7,333.4,HarvestPlus 2012,No additional notes for staples category,boiled,Dry season,3309,0.24,National,2019-09-01,v1.0-simulated-2025-11-12
UG0055,Cassava (raw),Kasava,Staples,89,125.6,4.57,3.52,21.33,3.49,14.7,1.04,0.75,56.1,0.0,0.0,5.0,21.8,0.119,0.0,409.4,UBOS market survey,No additional notes for staples category,raw,Dry season,2391,0.53,Central,2021-11-07,v1.0-simulated-2025-11-12
UG0056,Cassava,Kasava,Staples,69,78.7,2.92,1.31,33.5,0.0,16.9,0.16,0.53,45.0,0.0,0.0,19.0,16.5,0.0,10.9,243.8,HarvestPlus 2012,No additional notes for staples category,steamed,Harvest season,1591,0.43,National,2017-06-17,v1.0-simulated-2025-11-12
UG0057,Cassava (boiled),Kasava,Staples,74,85.2,4.27,2.97,34.72,2.09,17.9,2.37,0.28,45.2,0.0,0.0,16.1,5.6,0.052,0.0,330.4,FAO/INFOODS,No additional notes for staples category,boiled,Harvest season,1715,0.42,Central,2023-11-08,v1.0-simulated-2025-11-12
UG0058,Mango,Mangoo,Fruits,88,70.4,2.46,0.22,22.87,0.55,35.3,0.0,0.08,193.1,0.0,0.0,11.2,32.6,0.046,3.5,380.1,Estimated,Estimated value; requires verification from lab/FCT,smoked,Rainy season,5605,0.58,Western,2024-01-29,v1.0-simulated-2025-11-12
UG0059,Passion fruit,Passion,Fruits,75,62.0,0.3,0.7,8.0,3.76,2.0,0.61,0.4,19.8,0.0,0.0,21.8,75.2,0.037,2.8,100.0,Estimated,Estimated value; requires verification from lab/FCT,smoked,Year-round,3570,0.66,Northern,2023-05-15,v1.0-simulated-2025-11-12
UG0060,Millet (steamed),Oburo (millet),Staples,100,154.4,2.74,1.52,16.23,0.47,27.8,0.44,0.0,0.0,0.0,0.0,12.3,0.0,0.132,10.1,246.8,UBOS market survey,No additional notes for staples category,steamed,Rainy season,3472,0.53,Eastern,2025-08-07,v1.0-simulated-2025-11-12
UG0061,Cabbage,Cabbage,Vegetables,75,39.6,4.23,0.0,15.31,3.59,72.2,3.15,0.27,356.8,0.0,0.0,29.3,41.6,0.048,0.0,258.5,UBOS market survey,No additional notes for vegetables category,steamed,Year-round,3456,0.24,Western,2021-12-04,v1.0-simulated-2025-11-12
UG0062,Cabbage (fried),Cabbage,Vegetables,98,8.6,1.32,0.27,8.2,1.05,49.2,0.0,0.1,327.9,0.0,0.0,5.0,38.2,0.049,21.0,499.3,UBOS market survey,No additional notes for vegetables category,fried,Year-round,2187,0.24,Central,2016-01-11,v1.0-simulated-2025-11-12
UG0063,Sesame seeds (roasted),Sesame,Fats,100,615.4,0.0,70.99,0.05,0.0,2.3,0.0,2.79,5.3,0.0,0.0,25.0,0.0,0.0,3.4,224.7,UBOS market survey,No additional notes for fats category,roasted,Year-round,218,0.63,Central,2019-03-05,v1.0-simulated-2025-11-12
UG0064,Eggs (steamed),Amagi,Proteins,79,236.3,39.7,17.74,0.0,0.0,92.1,3.47,7.66,0.0,8.06,4.56,10.0,4.8,1.54,5.9,309.3,Estimated,Estimated value; requires verification from lab/FCT,steamed,Year-round,477,0.64,Northern,2019-05-26,v1.0-simulated-2025-11-12
UG0065,Matooke (green banana) (fried),Matooke,Staples,75,104.5,4.05,2.74,25.87,2.76,31.9,0.14,0.0,57.8,0.0,0.0,43.4,7.9,0.136,2.8,247.9,Estimated,Estimated value; requires verification from lab/FCT,fried,Year-round,2944,0.3,National,2016-10-26,v1.0-simulated-2025-11-12
UG0066,Spinach (fried),Spinach,Vegetables,77,61.8,3.23,0.0,4.73,4.32,50.7,6.64,0.6,276.8,0.0,0.0,25.7,29.0,0.042,24.2,660.5,FAO/INFOODS,No additional notes for vegetables category,fried,Dry season,200,0.09,Northern,2025-01-29,v1.0-simulated-2025-11-12
UG0067,Avocado,Avocado,Fats,77,633.5,0.0,50.38,10.65,0.0,26.0,3.76,0.42,33.4,0.0,0.0,13.9,0.0,0.0,7.0,323.8,UBOS market survey,No additional notes for fats category,roasted,Year-round,2804,0.3,Western,2020-03-05,v1.0-simulated-2025-11-12
UG0068,Chicken (meat) (steamed),Enkoko,Proteins,75,213.6,54.58,6.2,1.1,0.0,123.6,0.5,1.89,0.0,0.75,1.31,29.5,1.6,0.741,45.8,150.0,Estimated,Estimated value; requires verification from lab/FCT,steamed,Dry season,1783,0.17,National,2024-06-08,v1.0-simulated-2025-11-12
UG0069,Posho (maize meal) (dried),Posho,Staples,74,102.8,2.91,0.82,21.71,1.76,9.3,1.47,0.15,30.6,0.0,0.0,11.3,0.0,0.096,6.0,693.3,FAO/INFOODS,No additional notes for staples category,dried,Dry season,1686,0.31,Northern,2019-09-20,v1.0-simulated-2025-11-12
UG0070,Mango,Mangoo,Fruits,84,76.2,1.53,0.0,8.0,1.14,29.8,0.0,0.24,38.8,0.0,0.0,26.6,29.2,0.0,7.0,318.3,UBOS market survey,No additional notes for fruits category,boiled,Harvest season,600,0.6,National,2019-01-23,v1.0-simulated-2025-11-12
UG0071,Cabbage,Cabbage,Vegetables,78,22.5,0.8,0.57,6.83,4.21,5.0,0.0,0.2,164.7,0.0,0.0,62.6,67.3,0.111,15.5,625.9,Estimated,Estimated value; requires verification from lab/FCT,fried,Rainy season,2252,0.24,National,2020-07-22,v1.0-simulated-2025-11-12
UG0072,Banana (ripe),Muzukulu,Fruits,81,49.0,1.13,0.0,8.0,3.24,3.6,0.0,0.31,134.9,0.0,0.0,29.4,59.9,0.0,0.0,650.3,FAO/INFOODS,No additional notes for fruits category,roasted,Year-round,1623,0.62,Western,2020-01-31,v1.0-simulated-2025-11-12
UG0073,Tomatoes (steamed),Tomati,Vegetables,80,69.1,4.66,0.85,8.37,1.22,59.4,3.11,0.29,0.0,0.0,0.0,5.0,5.0,0.0,21.6,482.5,HarvestPlus 2012,No additional notes for vegetables category,steamed,Rainy season,1502,0.57,Western,2023-05-06,v1.0-simulated-2025-11-12
UG0074,Pawpaw (papaya),Pawpaw,Fruits,97,55.0,1.2,0.15,26.86,2.39,38.4,0.86,0.43,54.5,0.0,0.0,5.0,39.0,0.0,0.0,467.3,HarvestPlus 2012,No additional notes for fruits category,raw,Rainy season,2031,0.3,Northern,2019-01-04,v1.0-simulated-2025-11-12
UG0075,Passion fruit (dried),Passion,Fruits,92,114.3,1.44,0.5,21.2,1.05,32.0,0.22,0.2,106.3,0.0,0.0,5.0,70.1,0.007,2.3,100.0,Estimated,Estimated value; requires verification from lab/FCT,dried,Rainy season,4169,0.64,Northern,2020-04-27,v1.0-simulated-2025-11-12
UG0076,Groundnuts (fried),Ebijanjaalo (groundnuts),Proteins,79,137.2,32.78,7.27,7.52,0.0,5.5,0.5,0.87,0.0,3.86,1.88,1.0,9.3,1.577,0.0,583.3,HarvestPlus 2012,No additional notes for proteins category,fried,Year-round,2271,0.44,Northern,2023-05-30,v1.0-simulated-2025-11-12
UG0077,Posho (maize meal),Posho,Staples,99,124.6,6.09,2.95,33.19,2.91,21.2,0.7,0.07,29.9,0.0,0.0,18.0,6.4,0.085,9.6,363.3,Estimated,Estimated value; requires verification from lab/FCT,raw,Rainy season,287,0.64,Central,2020-09-29,v1.0-simulated-2025-11-12
UG0078,Millet,Oburo (millet),Staples,73,116.6,3.28,2.19,39.89,0.91,12.2,1.44,0.86,17.8,0.0,0.0,34.4,0.0,0.0,4.8,138.4,UBOS market survey,No additional notes for staples category,smoked,Harvest season,1208,0.58,National,2016-09-21,v1.0-simulated-2025-11-12
UG0079,Jackfruit,Jackfruit,Fruits,97,55.6,1.36,0.0,8.0,0.5,19.3,1.64,0.53,3.4,0.0,0.0,5.0,41.4,0.0,2.5,503.2,Estimated,Estimated value; requires verification from lab/FCT,smoked,Harvest season,1849,0.4,Eastern,2017-07-10,v1.0-simulated-2025-11-12
UG0080,Pineapple (steamed),Paineapul,Fruits,78,53.4,0.79,1.24,9.79,1.78,22.5,0.0,0.0,0.0,0.0,0.0,19.9,28.1,0.041,1.5,328.1,FAO/INFOODS,No additional notes for fruits category,steamed,Dry season,3326,0.2,National,2020-06-06,v1.0-simulated-2025-11-12
UG0081,Sukuma wiki (collard greens),Sukuma wiki,Vegetables,81,14.9,3.06,0.38,1.0,4.25,15.6,0.38,0.5,659.5,0.0,0.0,5.0,26.9,0.071,23.9,488.8,Estimated,Estimated value; requires verification from lab/FCT,raw,Dry season,758,0.78,Eastern,2022-10-26,v1.0-simulated-2025-11-12
UG0082,Goat meat,Enjovu,Proteins,88,195.4,19.62,20.06,15.62,0.0,5.0,4.12,1.04,12.7,7.0,0.0,5.6,0.0,0.0,51.0,674.9,HarvestPlus 2012,No additional notes for proteins category,boiled,Rainy season,1621,0.79,Eastern,2021-07-27,v1.0-simulated-2025-11-12
UG0083,Spinach (boiled),Spinach,Vegetables,96,38.8,1.62,0.45,9.53,1.04,44.8,4.08,0.65,723.8,0.0,0.0,18.0,5.0,0.06,17.3,751.1,HarvestPlus 2012,No additional notes for vegetables category,boiled,Harvest season,2805,0.67,Northern,2022-02-25,v1.0-simulated-2025-11-12
UG0084,Cabbage,Cabbage,Vegetables,83,27.1,3.74,0.2,4.39,1.07,61.9,6.13,0.0,209.7,0.0,0.0,77.4,22.6,0.073,0.0,544.2,HarvestPlus 2012,No additional notes for vegetables category,boiled,Harvest season,3478,0.66,Northern,2017-03-25,v1.0-simulated-2025-11-12
UG0085,Spinach,Spinach,Vegetables,90,32.9,2.7,1.19,1.97,4.21,97.7,1.76,0.0,0.0,0.0,0.0,73.9,24.3,0.0,0.0,634.9,HarvestPlus 2012,No additional notes for vegetables category,smoked,Harvest season,1641,0.57,Northern,2025-10-18,v1.0-simulated-2025-11-12
UG0086,Avocado,Avocado,Fats,87,518.8,0.0,61.98,6.55,0.0,46.1,0.93,0.0,36.2,0.0,0.0,0.0,0.0,0.913,0.0,380.2,Estimated,Estimated value; requires verification from lab/FCT,smoked,Harvest season,1611,0.69,National,2017-06-25,v1.0-simulated-2025-11-12
